LSOA code,LSOA name,LONG__y,LAT_y,Vehicle crime
E01009110,Birmingham 128B,-1.9245,52.3985,16
E01009111,Birmingham 127B,-1.94606,52.3997,6
E01009112,Birmingham 127C,-1.95337,52.3966,10
E01009113,Birmingham 128C,-1.93479,52.389,17
E01009114,Birmingham 128D,-1.94313,52.3959,21
E01009115,Birmingham 128E,-1.93811,52.3921,16
E01009116,Birmingham 127D,-1.93876,52.4083,18
E01009117,Birmingham 126A,-1.94858,52.4078,16
E01009118,Birmingham 127E,-1.94675,52.4026,10
E01009119,Birmingham 123C,-1.92666,52.4106,17
E01009120,Birmingham 123D,-1.92052,52.4063,19
E01009121,Birmingham 014A,-1.86543,52.5358,22
E01009122,Birmingham 014B,-1.87179,52.5412,15
E01009123,Birmingham 022A,-1.87104,52.5308,12
E01009124,Birmingham 022B,-1.8762,52.5303,9
E01009125,Birmingham 022C,-1.87292,52.5251,15
E01009126,Birmingham 026A,-1.8666,52.5261,6
E01009127,Birmingham 011A,-1.87391,52.5528,10
E01009128,Birmingham 011B,-1.88133,52.5519,6
E01009129,Birmingham 014C,-1.86926,52.5478,10
E01009130,Birmingham 011C,-1.87568,52.5494,10
E01009131,Birmingham 011D,-1.88163,52.5487,6
E01009132,Birmingham 014D,-1.86424,52.545,9
E01009133,Birmingham 011E,-1.87314,52.5458,13
E01009134,Birmingham 011F,-1.88209,52.5438,11
E01009135,Birmingham 010A,-1.85637,52.5425,7
E01009136,Birmingham 014E,-1.86418,52.5411,26
E01009137,Birmingham 011G,-1.87859,52.5399,10
E01009138,Birmingham 060A,-1.95853,52.4799,25
E01009139,Birmingham 060B,-1.96381,52.4803,8
E01009140,Birmingham 060C,-1.93142,52.4795,48
E01009141,Birmingham 137A,-1.92267,52.4822,36
E01009143,Birmingham 136A,-1.92639,52.477,18
E01009145,Birmingham 060D,-1.95164,52.4789,25
E01009146,Birmingham 136B,-1.91365,52.4732,54
E01009147,Birmingham 060E,-1.9634,52.4759,27
E01009151,Birmingham 053A,-1.94876,52.4846,21
E01009152,Birmingham 053B,-1.94306,52.4845,17
E01009153,Birmingham 053C,-1.92956,52.4829,47
E01009155,Birmingham 125B,-2.02486,52.4052,9
E01009157,Birmingham 125D,-2.00948,52.4075,16
E01009158,Birmingham 129A,-1.99451,52.4015,16
E01009159,Birmingham 130A,-2.00907,52.3982,41
E01009160,Birmingham 125E,-2.01874,52.3982,11
E01009161,Birmingham 125F,-2.02592,52.4025,6
E01009162,Birmingham 124A,-1.9876,52.4026,15
E01009163,Birmingham 129B,-1.9897,52.389,25
E01009164,Birmingham 130B,-2.0111,52.3907,9
E01009165,Birmingham 129C,-1.99329,52.3951,26
E01009166,Birmingham 131A,-1.97978,52.3931,9
E01009167,Birmingham 130C,-2.00648,52.3936,11
E01009168,Birmingham 131B,-1.9759,52.3919,11
E01009169,Birmingham 129D,-1.99978,52.392,13
E01009170,Birmingham 131C,-1.96967,52.3905,10
E01009171,Birmingham 130D,-2.00561,52.3886,20
E01009172,Birmingham 119A,-1.98683,52.4114,18
E01009173,Birmingham 119B,-1.99259,52.4111,6
E01009174,Birmingham 119C,-2.00328,52.4078,13
E01009175,Birmingham 104A,-1.88294,52.4332,19
E01009176,Birmingham 105E,-1.87011,52.4382,26
E01009177,Birmingham 104B,-1.89894,52.4344,18
E01009178,Birmingham 104C,-1.89348,52.4349,30
E01009179,Birmingham 104D,-1.88677,52.4295,22
E01009182,Birmingham 092A,-1.89085,52.4528,14
E01009183,Birmingham 088C,-1.89931,52.4479,14
E01009184,Birmingham 092B,-1.88953,52.4455,15
E01009185,Birmingham 093A,-1.87549,52.4401,11
E01009186,Birmingham 088D,-1.90236,52.4426,21
E01009187,Birmingham 092C,-1.88408,52.4431,21
E01009188,Birmingham 092D,-1.88793,52.4388,19
E01009189,Birmingham 104E,-1.88297,52.4365,17
E01009192,Birmingham 052B,-1.85448,52.4864,39
E01009194,Birmingham 051A,-1.84979,52.4859,45
E01009195,Birmingham 058A,-1.8396,52.485,15
E01009197,Birmingham 058C,-1.8402,52.4813,17
E01009198,Birmingham 058D,-1.85722,52.4806,49
E01009199,Birmingham 052D,-1.86673,52.4788,36
E01009200,Birmingham 139A,-1.87489,52.4764,168
E01009201,Birmingham 043A,-1.86496,52.4981,40
E01009202,Birmingham 043B,-1.84739,52.5043,74
E01009203,Birmingham 043C,-1.87508,52.4934,68
E01009204,Birmingham 052E,-1.87467,52.4854,60
E01009205,Birmingham 120A,-1.95274,52.4115,20
E01009206,Birmingham 120B,-1.96903,52.4091,20
E01009207,Birmingham 124B,-1.97864,52.4094,12
E01009208,Birmingham 124C,-1.98201,52.4025,5
E01009209,Birmingham 124D,-1.97382,52.4047,21
E01009210,Birmingham 126B,-1.9644,52.406,21
E01009211,Birmingham 120C,-1.95738,52.4055,9
E01009212,Birmingham 126C,-1.96363,52.4004,9
E01009213,Birmingham 124E,-1.97655,52.3993,15
E01009214,Birmingham 126D,-1.95509,52.402,6
E01009215,Birmingham 126E,-1.97086,52.3974,10
E01009216,Birmingham 131D,-1.96263,52.3944,19
E01009217,Birmingham 131E,-1.95695,52.3925,10
E01009218,Birmingham 120D,-1.95881,52.4158,28
E01009219,Birmingham 120E,-1.96863,52.4137,25
E01009220,Birmingham 008A,-1.89677,52.5569,10
E01009221,Birmingham 007A,-1.88245,52.5563,18
E01009222,Birmingham 008B,-1.89546,52.5545,6
E01009223,Birmingham 013A,-1.90857,52.5491,15
E01009224,Birmingham 008C,-1.8918,52.552,9
E01009225,Birmingham 013B,-1.89977,52.5492,14
E01009226,Birmingham 017A,-1.88889,52.5476,16
E01009227,Birmingham 013C,-1.8938,52.542,13
E01009228,Birmingham 013D,-1.89835,52.5434,3
E01009229,Birmingham 017B,-1.89093,52.5381,14
E01009230,Birmingham 017C,-1.88581,52.5388,11
E01009231,Birmingham 017D,-1.8828,52.5354,8
E01009232,Birmingham 022D,-1.8845,52.5289,11
E01009233,Birmingham 008D,-1.88786,52.5591,10
E01009234,Birmingham 019A,-1.90676,52.5345,10
E01009235,Birmingham 016A,-1.9258,52.5365,15
E01009236,Birmingham 019B,-1.91109,52.5373,22
E01009237,Birmingham 024A,-1.92478,52.5327,9
E01009238,Birmingham 024B,-1.91721,52.5337,8
E01009239,Birmingham 033F,-1.89358,52.5223,40
E01009240,Birmingham 024C,-1.9201,52.5272,6
E01009241,Birmingham 024D,-1.91354,52.5266,15
E01009242,Birmingham 024E,-1.90872,52.5218,15
E01009243,Birmingham 016B,-1.91665,52.5433,8
E01009244,Birmingham 019C,-1.9065,52.5394,17
E01009245,Birmingham 016C,-1.92682,52.5433,16
E01009246,Birmingham 016D,-1.92239,52.5415,10
E01009247,Birmingham 016E,-1.91847,52.5383,9
E01009248,Birmingham 019D,-1.90026,52.5361,8
E01009249,Birmingham 080A,-1.99677,52.4572,9
E01009250,Birmingham 080B,-2.00817,52.4579,9
E01009251,Birmingham 080C,-1.99736,52.4622,8
E01009252,Birmingham 073C,-1.97133,52.4624,16
E01009253,Birmingham 080D,-2.00215,52.4584,17
E01009254,Birmingham 085C,-1.97887,52.4611,16
E01009255,Birmingham 080E,-1.98733,52.4536,13
E01009256,Birmingham 085D,-1.98445,52.4577,11
E01009257,Birmingham 080F,-1.99468,52.4549,16
E01009258,Birmingham 085E,-1.98298,52.4516,17
E01009259,Birmingham 094E,-2.00075,52.4514,12
E01009260,Birmingham 073D,-1.97255,52.467,30
E01009261,Birmingham 073E,-1.9825,52.4633,19
E01009262,Birmingham 133A,-1.92313,52.5203,15
E01009263,Birmingham 032C,-1.92566,52.5161,18
E01009264,Birmingham 032D,-1.93553,52.5159,14
