LSOA code,LSOA name,LSOA IMD Score_y,LONG__y,LAT_y,Crime type,0
E01010161,Solihull 012E,11.134,-1.79886,52.4415,Burglary,27
E01009147,Birmingham 060E,46.788,-1.9634,52.4759,Burglary,27
E01010137,Solihull 012B,30.723,-1.78692,52.4376,Burglary,27
E01009332,Birmingham 139E,60.271,-1.86172,52.473,Burglary,27
E01010095,Sandwell 013C,46.38,-2.02533,52.5375,Burglary,27
E01009379,Birmingham 071E,76.225,-1.86479,52.4706,Burglary,27
E01009309,Birmingham 045E,58.067,-1.78015,52.4954,Burglary,27
E01010318,Walsall 024B,47.461,-1.97739,52.5913,Burglary,27
E01008914,Birmingham 050C,48.135,-1.89878,52.4896,Burglary,27
E01009862,Dudley 033D,27.144,-2.09192,52.4566,Burglary,27
E01009378,Birmingham 135A,43.802,-1.88735,52.4707,Burglary,27
E01009301,Birmingham 057D,56.072,-1.7663,52.4798,Burglary,27
E01009272,Birmingham 036B,47.467,-1.95351,52.518,Burglary,27
E01008955,Birmingham 112C,25.344,-1.92592,52.4231,Burglary,27
E01009632,Coventry 020D,40.632,-1.5141,52.4139,Burglary,26
E01010144,Solihull 007D,27.605,-1.75529,52.4769,Burglary,26
E01009407,Birmingham 020E,37.035,-1.84699,52.5278,Burglary,26
E01033619,Birmingham 137D,19.337,-1.91524,52.4856,Burglary,26
E01032592,Sandwell 039F,23.353,-1.96832,52.5359,Burglary,26
E01010227,Solihull 015C,5.982,-1.74965,52.4177,Burglary,26
E01010094,Sandwell 013B,28.426,-2.01152,52.5357,Burglary,26
E01009119,Birmingham 123C,26.603,-1.92666,52.4106,Burglary,26
E01009275,Birmingham 039A,50.934,-1.93991,52.506,Burglary,26
E01033627,Birmingham 137E,46.933,-1.91355,52.4799,Burglary,26
E01009446,Birmingham 005B,14.727,-1.79923,52.5699,Burglary,26
E01009098,Birmingham 025C,39.736,-1.80688,52.5203,Burglary,26
E01010263,Walsall 033B,39.901,-2.03387,52.5676,Burglary,26
E01009320,Birmingham 081F,22.809,-1.76512,52.4536,Burglary,26
E01009741,Dudley 022A,43.356,-2.11466,52.4793,Burglary,26
E01010463,Wolverhampton 020A,47.802,-2.13823,52.5767,Burglary,26
E01009365,Birmingham 071D,72.39,-1.87752,52.4679,Burglary,26
E01009567,Coventry 009C,50.892,-1.49414,52.4324,Burglary,26
E01009570,Coventry 015B,44.637,-1.49801,52.427,Burglary,25
E01010292,Walsall 008A,46.629,-2.00782,52.6209,Burglary,25
E01010021,Sandwell 024D,41.415,-2.00188,52.4928,Burglary,25
E01009283,Birmingham 079E,19.934,-1.91404,52.4461,Burglary,25
E01009512,Birmingham 062A,45.743,-1.78417,52.4757,Burglary,25
E01009016,Birmingham 098A,54.21,-1.83523,52.441,Burglary,25
E01008994,Birmingham 074B,21.737,-1.91082,52.4684,Burglary,25
E01009493,Birmingham 113D,59.309,-1.95902,52.4242,Burglary,25
E01009498,Birmingham 119D,58.985,-1.97981,52.421,Burglary,25
E01010003,Sandwell 030C,51.066,-2.01302,52.4906,Burglary,25
E01008987,Birmingham 064B,34.158,-1.93239,52.4748,Burglary,25
E01033632,Birmingham 023F,44.421,-1.83213,52.5266,Burglary,25
E01009932,Sandwell 033D,41.484,-2.04257,52.4741,Burglary,25
E01009844,Dudley 011A,53.922,-2.10022,52.5001,Burglary,25
E01032538,Coventry 001H,36.241,-1.48738,52.4484,Burglary,25
E01009068,Birmingham 075C,10.384,-1.95231,52.4588,Burglary,25
E01009102,Birmingham 028D,45.201,-1.81904,52.5125,Burglary,25
E01010326,Walsall 029A,17.321,-1.96209,52.5823,Burglary,24
E01009432,Birmingham 006A,20.739,-1.81166,52.5657,Burglary,24
