LSOA code,LSOA name,LSOA IMD Score_y,LONG__y,LAT_y,Crime type,0
E01032885,Solihull 029F,5.555,-1.83613,52.3833,Bicycle theft,4
E01009957,Sandwell 038C,53.031,-2.07438,52.471,Bicycle theft,4
E01009686,Coventry 026D,9.571,-1.55169,52.4036,Bicycle theft,4
E01010207,Solihull 024D,4.773,-1.79051,52.3957,Bicycle theft,3
E01032538,Coventry 001H,36.241,-1.48738,52.4484,Bicycle theft,3
E01009114,Birmingham 128D,54.108,-1.94313,52.3959,Bicycle theft,3
E01010204,Solihull 018D,38.921,-1.82642,52.4196,Bicycle theft,3
E01009955,Sandwell 035C,35.883,-2.07856,52.4739,Bicycle theft,3
E01009329,Birmingham 070A,50.75,-1.85449,52.4699,Bicycle theft,3
E01010402,Walsall 027A,24.162,-2.03485,52.5863,Bicycle theft,3
E01009977,Sandwell 016B,28.349,-2.03685,52.5345,Bicycle theft,3
E01010181,Solihull 029B,3.805,-1.84738,52.3892,Bicycle theft,3
E01010410,Wolverhampton 033A,45.111,-2.07274,52.5597,Bicycle theft,3
E01009414,Birmingham 030E,42.949,-1.86279,52.5128,Bicycle theft,3
E01009557,Coventry 034D,7.271,-1.53655,52.3922,Bicycle theft,3
E01010312,Walsall 038B,38.656,-2.04585,52.5704,Bicycle theft,3
E01009119,Birmingham 123C,26.603,-1.92666,52.4106,Bicycle theft,3
E01008952,Birmingham 112B,27.467,-1.92107,52.4274,Bicycle theft,3
E01009410,Birmingham 026D,46.42,-1.86503,52.5238,Bicycle theft,3
E01010320,Walsall 016A,32.54,-1.93877,52.6141,Bicycle theft,3
E01033646,Birmingham 031I,64.138,-1.85027,52.5173,Bicycle theft,3
E01009039,Birmingham 132A,13.915,-1.84475,52.4182,Bicycle theft,3
E01010308,Walsall 002D,49.072,-1.93056,52.6427,Bicycle theft,3
E01009424,Birmingham 004B,13.963,-1.84681,52.5701,Bicycle theft,3
E01009539,Coventry 039A,66.621,-1.45452,52.3853,Bicycle theft,3
E01009881,Dudley 011C,59.015,-2.09226,52.5111,Bicycle theft,3
E01009540,Coventry 039B,52.31,-1.46726,52.3892,Bicycle theft,3
E01033623,Birmingham 138C,32.489,-1.90527,52.4863,Bicycle theft,3
E01008886,Birmingham 076B,39.518,-1.81287,52.4603,Bicycle theft,3
E01010287,Walsall 012B,36.326,-2.00002,52.6166,Bicycle theft,3
E01009362,Birmingham 071A,61.205,-1.88963,52.4655,Bicycle theft,3
E01010254,Walsall 004D,26.068,-1.92544,52.6276,Bicycle theft,3
E01033619,Birmingham 137D,19.337,-1.91524,52.4856,Bicycle theft,3
E01009927,Sandwell 034F,25.575,-1.96949,52.4743,Bicycle theft,3
E01009068,Birmingham 075C,10.384,-1.95231,52.4588,Bicycle theft,3
E01010273,Walsall 017C,54.172,-2.0144,52.6071,Bicycle theft,3
E01010274,Walsall 021C,55.667,-2.01357,52.6005,Bicycle theft,3
E01033632,Birmingham 023F,44.421,-1.83213,52.5266,Bicycle theft,3
E01033628,Birmingham 041F,62.468,-1.89837,52.5029,Bicycle theft,3
E01008930,Birmingham 106D,32.371,-1.99275,52.4223,Bicycle theft,3
E01009033,Birmingham 103F,45.626,-1.8297,52.4271,Bicycle theft,3
E01033624,Birmingham 134C,30.894,-1.90527,52.4714,Bicycle theft,3
E01009341,Birmingham 066E,50.375,-1.82725,52.4786,Bicycle theft,3
E01010295,Walsall 017D,56.657,-2.00222,52.6096,Bicycle theft,3
E01009944,Sandwell 031C,37.633,-1.98881,52.4855,Bicycle theft,3
E01008995,Birmingham 134A,55.428,-1.90077,52.4654,Bicycle theft,3
E01009500,Birmingham 095E,64.062,-1.97271,52.443,Bicycle theft,3
E01010226,Solihull 016B,9.968,-1.76697,52.4145,Bicycle theft,3
E01009352,Birmingham 039C,56.499,-1.92774,52.5039,Bicycle theft,3
E01009090,Birmingham 042E,33.702,-1.81327,52.4921,Bicycle theft,3
E01008961,Birmingham 116C,22.079,-1.92971,52.4169,Bicycle theft,3
E01033567,Birmingham 135B,24.672,-1.89909,52.4724,Bicycle theft,3
E01008923,Birmingham 102B,55.858,-2.00587,52.4363,Bicycle theft,3
E01033564,Birmingham 136C,24.775,-1.91997,52.4763,Bicycle theft,3
E01008955,Birmingham 112C,25.344,-1.92592,52.4231,Bicycle theft,3
E01010373,Walsall 030E,12.496,-1.96995,52.573,Bicycle theft,3
E01010292,Walsall 008A,46.629,-2.00782,52.6209,Bicycle theft,3
E01009000,Birmingham 031C,54.211,-1.84656,52.5183,Bicycle theft,3
E01010241,Walsall 015A,8.298,-1.8997,52.6105,Bicycle theft,3
E01008883,Birmingham 078A,38.636,-1.82302,52.4628,Bicycle theft,3
E01010240,Solihull 002D,42.563,-1.75636,52.5092,Bicycle theft,3
E01010029,Sandwell 009C,70.309,-2.05206,52.542,Bicycle theft,3
E01009627,Coventry 012C,34.476,-1.52132,52.4242,Bicycle theft,3
E01010459,Wolverhampton 008B,25.727,-2.09631,52.6117,Bicycle theft,3
E01009721,Dudley 031A,21.239,-2.15065,52.4646,Bicycle theft,3
E01009013,Birmingham 031D,52.593,-1.83937,52.5197,Bicycle theft,3
E01009242,Birmingham 024E,28.542,-1.90872,52.5218,Bicycle theft,3
E01009631,Coventry 020C,50.343,-1.5223,52.4155,Bicycle theft,3
E01009153,Birmingham 053C,48.369,-1.92956,52.4829,Bicycle theft,3
E01009597,Coventry 043D,27.334,-1.50657,52.4427,Bicycle theft,3
E01009599,Coventry 013A,31.203,-1.46928,52.43,Bicycle theft,3
E01010540,Wolverhampton 009B,10.541,-2.16672,52.6031,Bicycle theft,3
E01009253,Birmingham 080D,20.238,-2.00215,52.4584,Bicycle theft,3
E01010453,Wolverhampton 035F,40.812,-2.11525,52.5716,Bicycle theft,3
E01009616,Coventry 027B,19.917,-1.47507,52.4093,Bicycle theft,3
E01009258,Birmingham 085E,55.39,-1.98298,52.4516,Bicycle theft,3
E01009015,Birmingham 089G,31.911,-1.81965,52.4443,Bicycle theft,3
E01009200,Birmingham 139A,54.122,-1.87489,52.4764,Bicycle theft,3
E01010511,Wolverhampton 017D,42.114,-2.13986,52.5915,Bicycle theft,3
E01009660,Coventry 021D,23.59,-1.47807,52.4135,Bicycle theft,3
E01009683,Coventry 032D,25.622,-1.56082,52.3994,Bicycle theft,3
E01010065,Sandwell 026F,31.117,-1.95213,52.4869,Bicycle theft,3
E01010061,Sandwell 026B,41.264,-1.95936,52.4873,Bicycle theft,3
E01009203,Birmingham 043C,56.729,-1.87508,52.4934,Bicycle theft,3
E01010506,Wolverhampton 017A,40.183,-2.14639,52.5863,Bicycle theft,3
E01010495,Wolverhampton 002A,29.868,-2.13271,52.6291,Bicycle theft,3
E01009204,Birmingham 052E,57.368,-1.87467,52.4854,Bicycle theft,3
E01010496,Wolverhampton 003A,32.003,-2.14818,52.6253,Bicycle theft,3
E01010485,Wolverhampton 007D,50.121,-2.12008,52.6079,Bicycle theft,3
E01010039,Sandwell 025A,42.887,-2.06032,52.4846,Bicycle theft,3
E01010484,Wolverhampton 007C,49.998,-2.11174,52.6109,Bicycle theft,3
E01009579,Coventry 007B,53.177,-1.46395,52.433,Bicycle theft,3
E01010169,Solihull 025C,2.803,-1.64697,52.389,Bicycle theft,3
