LSOA code,LSOA name,LONG_,LAT,Bicycle theft
E01009399,Birmingham 083E,-1.87566,52.4533,2
E01009404,Birmingham 020B,-1.85503,52.5355,1
E01009405,Birmingham 020C,-1.8518,52.5302,1
E01009406,Birmingham 020D,-1.8577,52.5322,1
E01009408,Birmingham 026B,-1.85755,52.5257,1
E01009409,Birmingham 026C,-1.84918,52.5234,2
E01009410,Birmingham 026D,-1.86503,52.5238,3
E01009412,Birmingham 030C,-1.85904,52.52,6
E01009414,Birmingham 030E,-1.86279,52.5128,3
E01009416,Birmingham 003A,-1.80588,52.5951,1
E01009422,Birmingham 002B,-1.84062,52.5887,1
E01009423,Birmingham 002C,-1.8249,52.5992,1
E01009424,Birmingham 004B,-1.84681,52.5701,3
E01009430,Birmingham 004E,-1.83173,52.5697,1
E01009432,Birmingham 006A,-1.81166,52.5657,2
E01009437,Birmingham 006C,-1.80699,52.547,1
E01009438,Birmingham 012C,-1.7859,52.5402,1
E01009441,Birmingham 021B,-1.75357,52.5243,1
E01009442,Birmingham 021C,-1.79305,52.5302,1
E01009443,Birmingham 021D,-1.78481,52.5308,1
E01009449,Birmingham 009A,-1.82829,52.5605,5
E01009460,Birmingham 018E,-1.83921,52.5388,1
E01009462,Birmingham 018F,-1.83168,52.5376,1
E01009463,Birmingham 015D,-1.82137,52.5394,1
E01009468,Birmingham 004F,-1.84436,52.5549,1
E01009471,Birmingham 009E,-1.82468,52.5513,1
E01009473,Birmingham 010E,-1.85771,52.5484,2
E01009474,Birmingham 010F,-1.84465,52.5476,1
E01009476,Birmingham 055B,-1.83393,52.4832,1
E01009477,Birmingham 055C,-1.82257,52.4822,1
E01009480,Birmingham 044C,-1.83102,52.4985,1
E01009483,Birmingham 051B,-1.85972,52.4936,1
E01009493,Birmingham 113D,-1.95902,52.4242,1
E01009494,Birmingham 109A,-1.96984,52.427,5
E01009497,Birmingham 109C,-1.97388,52.4184,2
E01009498,Birmingham 119D,-1.97981,52.421,1
E01009499,Birmingham 119E,-1.97867,52.4131,5
E01009500,Birmingham 095E,-1.97271,52.443,3
E01009501,Birmingham 101B,-1.97011,52.4369,2
E01009503,Birmingham 101D,-1.96455,52.4367,2
E01009504,Birmingham 109D,-1.96066,52.432,1
E01009505,Birmingham 101E,-1.97366,52.4295,1
E01009509,Birmingham 056D,-1.81351,52.4807,6
E01009512,Birmingham 062A,-1.78417,52.4757,2
E01009514,Birmingham 062B,-1.78914,52.4764,1
E01009517,Birmingham 062D,-1.78931,52.4715,1
E01009524,Coventry 006A,-1.53362,52.4408,4
E01009526,Coventry 010B,-1.54818,52.4322,5
E01009536,Coventry 033C,-1.45562,52.4003,1
E01009537,Coventry 035C,-1.45234,52.3931,1
E01009539,Coventry 039A,-1.45452,52.3853,3
E01009540,Coventry 039B,-1.46726,52.3892,3
