OBJECTID,WD21CD,WD21NM,WD21NMW,BNG_E,BNG_N,LONG,LAT,GlobalID,SHAPE_Length,SHAPE_Area
4820,E05011247,Loxford, ,544115,185193,0.077027999,51.54723,{CE001C7C-B8B6-432D-A363-48A8FB8944C2},8932.023327,1064311.767
4821,E05011248,Mayfield, ,545495,185978,0.097240001,51.553928,{2800D41E-A6F0-4E65-B43C-C9AD3F58628F},6686.555039,1861774.776
4822,E05011249,Monkhams, ,540274,192875,0.024737,51.617229,{02462C1B-83C9-40A9-B745-D2A675397F64},8669.438081,2793827.252
4823,E05011250,Newbury, ,544829,188070,0.088500999,51.572899,{26F51C1D-4303-4A35-955B-EA8372AFFBC5},8099.450096,1743894.237
4824,E05011251,Seven Kings, ,546098,187789,0.106683,51.570049,{8E9AED81-1E62-454B-A1C1-9D5EA61C5AF4},7650.236681,1816329.37
4825,E05011252,South Woodford, ,540419,189846,0.025618,51.58997,{6988A8DE-D107-4299-A187-1ADE11B8F7CF},6751.039665,2040617.211
4826,E05011253,Valentines, ,543515,187568,0.069348998,51.568722,{35C65CBC-AA0E-49BA-8F16-A028EA6B4EED},7250.068393,1799784.248
4827,E05011254,Wanstead Park, ,541239,187153,0.036366001,51.565571,{CC28F12C-F0D6-4174-A0A4-F564BD136DE5},13521.95958,4736967.871
4828,E05011255,Wanstead Village, ,540754,188541,0.029928001,51.578159,{20721851-D851-4E3B-AF18-93527D771E93},8743.409205,2299744.445
4829,E05011256,Alconbury, ,514297,276033,-0.32258999,52.370441,{9531386C-DC27-4BC5-9F6F-B07DAEA51C2C},65295.94582,76625667.09
4830,E05011257,Brampton, ,520757,270762,-0.22964001,52.32169,{132413BD-7C2B-4ED6-A4C8-C607C0BE7DA9},23689.38149,16376876.23
4831,E05011258,Buckden, ,518408,266648,-0.26552999,52.285229,{FAB0DF03-157C-45D8-BCA1-398A90E47D4E},25949.95895,27489087.14
4832,E05011259,Fenstanton, ,530464,267070,-0.08873,52.286301,{1D25D787-F542-4661-BF11-36DDE0EF6B5B},22607.98121,14775588.67
4833,E05011260,Godmanchester & Hemingford Abbots, ,525000,268084,-0.16841,52.29668,{3E2CA8B8-60AA-4188-952A-895B7913077A},31956.24368,41463574.57
4834,E05011261,Great Paxton, ,521831,258881,-0.21818,52.214691,{F75F609A-A3E7-472D-B54A-145FC7C2FA16},61435.99976,69497072.31
4835,E05011262,Great Staughton, ,514494,266128,-0.32306001,52.281391,{A65FD670-9D09-472F-A86B-F5B29B037719},51608.09521,51735871.32
4836,E05011263,Hemingford Grey & Houghton, ,528183,273636,-0.11965,52.345829,{CE06BCBF-0B64-442F-9775-166B147AC3FA},31604.5682,23270386.7
4837,E05011264,Holywell-cum-Needingworth, ,535953,273367,-0.00576,52.341549,{E1383BE9-BF5D-4FB4-9153-0D75D8133E53},30006.13653,32477725.79
4838,E05011265,Huntingdon East, ,525100,272960,-0.16514,52.340469,{9F310FE3-BA4B-4E2D-A530-A5AADD795FE0},7709.737853,2083391.166
4839,E05011266,Huntingdon North, ,524397,273520,-0.17524,52.345661,{3AEEE754-9E30-4282-B205-83578963A7AA},15304.39831,5866214.306
4840,E05011267,Kimbolton, ,508081,273217,-0.41475999,52.34639,{6245FD62-AA0D-4C91-91DF-07CFD7569B52},59116.47816,98409326.21
4841,E05011268,Ramsey, ,529315,287492,-0.097690001,52.47007,{BA98EB8A-644D-49BA-A5F4-769FD53A1C44},51566.58305,69557798.85
4842,E05011269,St Ives East, ,531522,273745,-0.07062,52.34602,{15BF34B8-F04F-4C8E-B6C3-EFEC12C9733C},11349.77904,5395466.309
4843,E05011270,St Ives South, ,531549,271213,-0.071209997,52.323269,{3AF9C7B2-2D18-49B6-8B18-D8DDFC2DE00A},13279.27289,5177282.543
4844,E05011271,St Ives West, ,530474,272752,-0.086379997,52.337349,{FBFD3C66-AA3A-4C90-99CF-F3D168B24D81},5265.36773,1207187.096
4845,E05011272,St Neots East, ,520493,260813,-0.23706,52.232349,{BD022AEF-86EA-4CD3-A7AD-6B570E454387},10140.66194,4319672.752
4846,E05011273,St Neots Eatons, ,517195,259543,-0.28577,52.221649,{5193ECFC-A026-4A78-B18A-F2BB5E7A2B7C},10217.57184,3588898.838
