OBJECTID,LAD19CD,LAD19NM,LAD19NMW,BNG_E,BNG_N,LONG,LAT,SHAPE_Length,SHAPE_Area
260,E08000012,Liverpool, ,339361,390553,-2.91364,53.408298,67269.7437,-133533740.5
261,E08000013,St. Helens, ,353412,395992,-2.7031,53.458618,76387.03584,-136358793
262,E08000014,Sefton, ,334282,398832,-2.99177,53.482101,115848.9916,-202755835.2
263,E08000015,Wirral, ,329110,386965,-3.0670099,53.374779,84920.49977,-253246047
264,E08000016,Barnsley, ,429979,403327,-1.54925,53.525768,126421.1418,-329077594.6
265,E08000017,Doncaster, ,459167,403735,-1.10894,53.52697,135159.8984,-568551285.4
266,E08000018,Rotherham, ,447542,388980,-1.28651,53.395531,106151.9642,-286534367.6
267,E08000019,Sheffield, ,430511,389736,-1.54254,53.40358,132837.2992,-367930014.6
268,E08000021,Newcastle upon Tyne, ,422287,569662,-1.65297,55.021011,61724.79132,-115117802.7
269,E08000022,North Tyneside, ,431471,570602,-1.50923,55.028961,65358.13799,-84823244.78
270,E08000023,South Tyneside, ,435514,564057,-1.44679,54.969879,47104.23591,-67074163.55
271,E08000024,Sunderland, ,436470,551524,-1.43344,54.857189,70241.04389,-139617952.5
272,E08000025,Birmingham, ,408150,287352,-1.88141,52.484039,106260.7202,-267791059.9
273,E08000026,Coventry, ,432807,279689,-1.51908,52.41423,54057.38131,-98639059.79
274,E08000027,Dudley, ,393191,288584,-2.1017101,52.495129,75382.32965,-97958242.97
275,E08000028,Sandwell, ,399573,290764,-2.00771,52.514771,59211.00305,-85558928.16
276,E08000029,Solihull, ,419434,281483,-1.71558,52.431,101031.4487,-178282115.9
277,E08000030,Walsall, ,402098,300804,-1.97044,52.60503,59401.17943,-103973538.3
278,E08000031,Wolverhampton, ,391463,300016,-2.12746,52.597881,56054.91438,-69436711.83
279,E08000032,Bradford, ,408395,438626,-1.87389,53.843819,135920.6132,-366419742
280,E08000033,Calderdale, ,402617,424896,-1.96182,53.720482,107687.4581,-363960989.5
281,E08000034,Kirklees, ,414586,416223,-1.7808501,53.64233,125668.5314,-408551664.1
282,E08000035,Leeds, ,432528,436384,-1.50736,53.822731,161521.9092,-551706537.4
283,E08000036,Wakefield, ,438366,418235,-1.42092,53.659222,109447.3563,-338619733.2
284,E08000037,Gateshead, ,420168,559658,-1.6868,54.931198,79723.07151,-144079851.5
285,E09000001,City of London, ,532381,181359,-0.093529999,51.515652,9601.690722,-3149382.73
286,E09000002,Barking and Dagenham, ,547757,185111,0.12947901,51.545551,36967.15276,-37799326.59
287,E09000003,Barnet, ,523472,191753,-0.21821,51.61108,50818.56402,-86748323.84
288,E09000004,Bexley, ,549203,175435,0.146227,51.458229,43418.85191,-64286457.79
289,E09000005,Brent, ,519615,186468,-0.27568001,51.564411,38334.1081,-43232647.41
290,E09000006,Bromley, ,542036,165708,0.039246,51.372669,76164.24257,-150134859.4
291,E09000007,Camden, ,527492,184284,-0.16289,51.54306,26150.81838,-21789299.88
292,E09000008,Croydon, ,533922,164745,-0.077610001,51.365978,58703.92437,-86494438.88
293,E09000009,Ealing, ,517057,181960,-0.31406999,51.524429,47439.02631,-55544347.22
294,E09000010,Enfield, ,532829,196197,-0.081469998,51.64888,41064.64929,-82200189.55
295,E09000011,Greenwich, ,542508,175878,0.050106999,51.463928,45579.70064,-50441941.32
296,E09000012,Hackney, ,534560,185787,-0.060449999,51.55492,25382.81556,-19049030.35
297,E09000013,Hammersmith and Fulham, ,523867,177993,-0.21735001,51.487331,23938.85826,-17154069.53
298,E09000014,Haringey, ,531262,189349,-0.10667,51.587711,29025.17909,-29598385.16
299,E09000015,Harrow, ,515356,189736,-0.33603001,51.594669,33735.4607,-50463306.79
300,E09000016,Havering, ,555032,187514,0.235368,51.565189,63860.93408,-114457261.1
301,E09000017,Hillingdon, ,508166,183120,-0.44182,51.536629,63887.01474,-115700538.6
302,E09000018,Hounslow, ,512742,174965,-0.37847,51.462429,57608.50006,-56585441.08
303,E09000019,Islington, ,531158,184647,-0.10992,51.545479,20727.85737,-14856651.42
304,E09000020,Kensington and Chelsea, ,525757,179053,-0.18976,51.496441,21002.59269,-12383792.88
305,E09000021,Kingston upon Thames, ,519508,167389,-0.28367001,51.39296,37553.14526,-37261179.92
