LSOA code,LSOA name,LONG__y,LAT_y,Anti-social behaviour
E01009152,Birmingham 053B,-1.94306,52.4845,37
E01009153,Birmingham 053C,-1.92956,52.4829,35
E01009155,Birmingham 125B,-2.02486,52.4052,23
E01009157,Birmingham 125D,-2.00948,52.4075,12
E01009158,Birmingham 129A,-1.99451,52.4015,19
E01009159,Birmingham 130A,-2.00907,52.3982,31
E01009160,Birmingham 125E,-2.01874,52.3982,30
E01009161,Birmingham 125F,-2.02592,52.4025,35
E01009162,Birmingham 124A,-1.9876,52.4026,38
E01009163,Birmingham 129B,-1.9897,52.389,9
E01009164,Birmingham 130B,-2.0111,52.3907,5
E01009165,Birmingham 129C,-1.99329,52.3951,48
E01009166,Birmingham 131A,-1.97978,52.3931,14
E01009167,Birmingham 130C,-2.00648,52.3936,12
E01009168,Birmingham 131B,-1.9759,52.3919,5
E01009169,Birmingham 129D,-1.99978,52.392,9
E01009170,Birmingham 131C,-1.96967,52.3905,5
E01009171,Birmingham 130D,-2.00561,52.3886,16
E01009172,Birmingham 119A,-1.98683,52.4114,16
E01009173,Birmingham 119B,-1.99259,52.4111,20
E01009174,Birmingham 119C,-2.00328,52.4078,32
E01009175,Birmingham 104A,-1.88294,52.4332,12
E01009176,Birmingham 105E,-1.87011,52.4382,28
E01009177,Birmingham 104B,-1.89894,52.4344,13
E01009178,Birmingham 104C,-1.89348,52.4349,103
E01009179,Birmingham 104D,-1.88677,52.4295,15
E01009182,Birmingham 092A,-1.89085,52.4528,17
E01009183,Birmingham 088C,-1.89931,52.4479,9
E01009184,Birmingham 092B,-1.88953,52.4455,26
E01009185,Birmingham 093A,-1.87549,52.4401,12
E01009186,Birmingham 088D,-1.90236,52.4426,16
E01009187,Birmingham 092C,-1.88408,52.4431,12
E01009188,Birmingham 092D,-1.88793,52.4388,19
E01009189,Birmingham 104E,-1.88297,52.4365,8
E01009192,Birmingham 052B,-1.85448,52.4864,19
E01009194,Birmingham 051A,-1.84979,52.4859,36
E01009195,Birmingham 058A,-1.8396,52.485,36
E01009197,Birmingham 058C,-1.8402,52.4813,18
E01009198,Birmingham 058D,-1.85722,52.4806,29
E01009199,Birmingham 052D,-1.86673,52.4788,31
E01009200,Birmingham 139A,-1.87489,52.4764,67
E01009201,Birmingham 043A,-1.86496,52.4981,26
E01009202,Birmingham 043B,-1.84739,52.5043,38
E01009203,Birmingham 043C,-1.87508,52.4934,70
E01009204,Birmingham 052E,-1.87467,52.4854,24
E01009205,Birmingham 120A,-1.95274,52.4115,12
E01009206,Birmingham 120B,-1.96903,52.4091,15
E01009207,Birmingham 124B,-1.97864,52.4094,4
E01009208,Birmingham 124C,-1.98201,52.4025,5
E01009209,Birmingham 124D,-1.97382,52.4047,25
E01009210,Birmingham 126B,-1.9644,52.406,17
E01009211,Birmingham 120C,-1.95738,52.4055,10
E01009212,Birmingham 126C,-1.96363,52.4004,32
E01009213,Birmingham 124E,-1.97655,52.3993,30
E01009214,Birmingham 126D,-1.95509,52.402,34
E01009215,Birmingham 126E,-1.97086,52.3974,22
E01009216,Birmingham 131D,-1.96263,52.3944,17
E01009217,Birmingham 131E,-1.95695,52.3925,12
E01009218,Birmingham 120D,-1.95881,52.4158,5
E01009219,Birmingham 120E,-1.96863,52.4137,13
E01009220,Birmingham 008A,-1.89677,52.5569,3
E01009221,Birmingham 007A,-1.88245,52.5563,35
E01009222,Birmingham 008B,-1.89546,52.5545,15
E01009223,Birmingham 013A,-1.90857,52.5491,14
E01009224,Birmingham 008C,-1.8918,52.552,9
E01009225,Birmingham 013B,-1.89977,52.5492,18
E01009226,Birmingham 017A,-1.88889,52.5476,8
E01009227,Birmingham 013C,-1.8938,52.542,8
E01009228,Birmingham 013D,-1.89835,52.5434,11
E01009229,Birmingham 017B,-1.89093,52.5381,3
E01009230,Birmingham 017C,-1.88581,52.5388,25
E01009231,Birmingham 017D,-1.8828,52.5354,10
E01009232,Birmingham 022D,-1.8845,52.5289,11
E01009233,Birmingham 008D,-1.88786,52.5591,11
E01009234,Birmingham 019A,-1.90676,52.5345,6
E01009235,Birmingham 016A,-1.9258,52.5365,4
E01009236,Birmingham 019B,-1.91109,52.5373,14
E01009237,Birmingham 024A,-1.92478,52.5327,16
E01009238,Birmingham 024B,-1.91721,52.5337,12
E01009239,Birmingham 033F,-1.89358,52.5223,64
E01009240,Birmingham 024C,-1.9201,52.5272,6
E01009241,Birmingham 024D,-1.91354,52.5266,10
E01009242,Birmingham 024E,-1.90872,52.5218,15
E01009243,Birmingham 016B,-1.91665,52.5433,13
E01009244,Birmingham 019C,-1.9065,52.5394,7
E01009245,Birmingham 016C,-1.92682,52.5433,10
E01009246,Birmingham 016D,-1.92239,52.5415,5
E01009247,Birmingham 016E,-1.91847,52.5383,3
E01009248,Birmingham 019D,-1.90026,52.5361,10
E01009249,Birmingham 080A,-1.99677,52.4572,9
E01009250,Birmingham 080B,-2.00817,52.4579,18
E01009251,Birmingham 080C,-1.99736,52.4622,10
E01009252,Birmingham 073C,-1.97133,52.4624,6
E01009253,Birmingham 080D,-2.00215,52.4584,13
E01009254,Birmingham 085C,-1.97887,52.4611,34
E01009255,Birmingham 080E,-1.98733,52.4536,29
E01009256,Birmingham 085D,-1.98445,52.4577,8
E01009257,Birmingham 080F,-1.99468,52.4549,21
E01009258,Birmingham 085E,-1.98298,52.4516,21
E01009259,Birmingham 094E,-2.00075,52.4514,38
E01009260,Birmingham 073D,-1.97255,52.467,14
E01009261,Birmingham 073E,-1.9825,52.4633,19
E01009262,Birmingham 133A,-1.92313,52.5203,8
E01009263,Birmingham 032C,-1.92566,52.5161,26
E01009264,Birmingham 032D,-1.93553,52.5159,22
E01009265,Birmingham 032E,-1.93026,52.5139,23
E01009266,Birmingham 034A,-1.93832,52.5139,35
E01009267,Birmingham 133B,-1.93428,52.5207,2
E01009268,Birmingham 036A,-1.94949,52.513,6
E01009269,Birmingham 034B,-1.94396,52.5161,21
E01009270,Birmingham 034C,-1.93488,52.5102,36
E01009271,Birmingham 034D,-1.94251,52.5115,10
E01009272,Birmingham 036B,-1.95351,52.518,17
E01009273,Birmingham 034E,-1.9468,52.5098,11
E01009274,Birmingham 036C,-1.95041,52.5086,36
E01009275,Birmingham 039A,-1.93991,52.506,31
E01009276,Birmingham 133C,-1.93736,52.531,16
E01009278,Birmingham 133D,-1.92549,52.5248,9
E01009279,Birmingham 133E,-1.93319,52.5262,14
E01009280,Birmingham 100A,-1.93012,52.4341,13
E01009281,Birmingham 099A,-1.9393,52.4315,10
E01009282,Birmingham 100B,-1.92251,52.4327,8
E01009283,Birmingham 079E,-1.91404,52.4461,7
E01009284,Birmingham 096A,-1.93872,52.442,55
E01009286,Birmingham 096C,-1.92579,52.4401,11
E01009288,Birmingham 100C,-1.91974,52.4434,1
E01009289,Birmingham 096E,-1.93365,52.4431,9
E01009290,Birmingham 096F,-1.93009,52.4388,13
E01009291,Birmingham 095D,-1.96248,52.4421,17
E01009292,Birmingham 099B,-1.94926,52.4423,19
E01009293,Birmingham 100D,-1.92154,52.4374,20
E01009294,Birmingham 099C,-1.95477,52.4362,21
E01009295,Birmingham 099D,-1.94621,52.4381,20
E01009296,Birmingham 100E,-1.91616,52.4387,15
E01009297,Birmingham 057A,-1.76668,52.4864,24
E01009298,Birmingham 054D,-1.78749,52.4827,31
E01009299,Birmingham 057B,-1.77725,52.481,37
E01009300,Birmingham 057C,-1.78047,52.4853,42
E01009301,Birmingham 057D,-1.7663,52.4798,25
E01009302,Birmingham 069A,-1.76086,52.4733,7
E01009303,Birmingham 057E,-1.76862,52.4759,21
E01009304,Birmingham 046A,-1.77463,52.4988,33
E01009305,Birmingham 045C,-1.78895,52.4982,26
E01009306,Birmingham 046B,-1.77841,52.4908,23
E01009307,Birmingham 045D,-1.78276,52.4987,24
E01009308,Birmingham 046C,-1.76187,52.4941,26
E01009309,Birmingham 045E,-1.78015,52.4954,13
E01009310,Birmingham 046D,-1.76682,52.4964,56
